COMPLAINT/INQUIRY NUMBER,LICENSE TYPE,ACCOUNT NAME,BIC NUMBER,DATE COMPLAINT/INQUIRY REPORTED ON,INDUSTRY TYPE,ACCOUNT STATUS,SOURCE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY DISPOSITION,COMPLAINT/INQUIRY STATUS,TOTAL RESPONSE TIME,COMPLAINT OR INQUIRY,NATURE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY STREET ADDRESS,COMPLAINT/INQUIRY CITY,COMPLAINT/INQUIRY STATE,COMPLAINT/INQUIRY ZIP,COMPLAINT/INQUIRY BOROUGH,ACCOUNT FOCUS OF COMPLAINT/INQUIRY,ACCOUNT ADDRESS,ACCOUNT CITY,ACCOUNT STATE,ACCOUNT ZIP,ACCOUNT PHONE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE TYPE,VEHICLE YEAR,VEHICLE COLOR,CONTACTED COMPLAINANT,UNABLE TO CONTACT COMPLAINANT,METHOD USED TO CONTACT COMPLAINANT,EXPORT DATE,Borough,Latitude,Longitide,Community Board,Council District,Census Tract,BIN,BBL,NTA
COMP-196376,Trade Waste,"LIBERTY ASHES, INC.",BIC-112,03/15/2022,Trade Waste,Active,WEB-MAIL,Resolved,Closed,0.0,Complaint,Containers-Unremoved - Trade Waste,,,,,,LIBERTY ASHES INC.,94-02 150TH STREET,JAMAICA,NY,11435,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-01047,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01046,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01271,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01167,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,139-14 222 St.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190599,,,,05/22/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Complaint,Containers-Unremoved - Trade Waste,18 Comstock Avenue,Staten Island,NY,10314,Staten Island,,,,,,,,,,,,True,False,Phone Call,2024-02-21,STATEN IS,40.618213,-74.157232,1,49,30301,5032213,5016440044,Mariner's Harbor-Arlington-Port Ivory-Graniteville
COMP-196919,Trade Waste,FILCO CARTING CORP.,BIC-390,05/31/2023,Trade Waste,Active,WEB-MAIL,Resolved,Closed,1.0,Complaint,Quality of Life-Noise - Trade Waste,Madison Ave & E 34th Street,,,,Manhattan,FILCO CARTING CORP.,197 SNEDIKER AVENUE,BROOKLYN,NY,11207,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-00494,,,TWC-0,,Trade Waste,,PHONE - OTHER,Unsubstantiated,Closed,,Inquiry,Unlicensed Carter - Trade Waste,1902 Cortelyou Road,NYC,NY,,Brooklyn,Mago Landscaping,1902 Cortelyou Road,NYC,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01082,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00458,,CROWN WASTE CORP,TWC-311,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Rates-Overcharge - Trade Waste,,,,,,CROWN WASTE CORP,326 BROADWAY SUITE 200,BETHPAGE,RENEWAL PENDING,,(516) 827-5060,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00035,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00333,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00278,,G&D LANDSCAPING CORP.,TWC-436,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All,,,,,,G&D LANDSCAPING CORP.,2139 57 STREET,BROOKLYN,RENEWAL APPROVED,,(718) 256-7600,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190846,,,,07/23/2014,Trade Waste,,PHONE - 6300,Resolved,Closed,5.0,Complaint,Billing - All,63-48 Forrest Avenue,New York,NY,11385,Queens,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2013-00150,,LANDSOURCE CONTAINER SERVICE INC.,TWC-4439,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste;Other - All,,,,,,LAND SOURCE CONTAINER SERVICE INC.,8 A LEAHY AVENUE,BRENTWOOD,PENDING,,(516) 349-1718,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00710,,,TWC-93,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Recycling - Trade Waste,,,NY,,,GAETA INTERIOR DEMOLITION INC.,25 VAN STREET,STATEN ISLAND,RENEWAL APPROVED,,(718) 720-7220,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-01029,,"CITIWASTE, LLC",TWC-2174,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Complaint,Quality of Life-Noise - Trade Waste,102 E & 105 E 22nd st.,NY,NY,,NYC,"CITIWASTE, LLC.",100-02  FARRAGUT RD.,BROOKLYN,RENEWAL APPROVED,,(718) 372-3887,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01361,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,,Complaint,Misinformation - All,116-03 Babbage Street,Richmond Hill,,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193176,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,09/29/2016,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,4.0,Complaint,Quality of Life-Noise - Trade Waste,333 E 86th St,New York,NY,10028,Manhattan,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.777503,-73.950841,8,5,14602,1050027,1015490015,Yorkville
COMP-194659,,,,01/17/2019,Trade Waste,,311/PHONE - 9278,Resolved,Closed,6.0,Complaint,Unlicensed Carter - Trade Waste,,Jamaica,NY,,Queens,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2011-00687,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01344,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191220,,,,10/10/2014,Trade Waste,,PHONE - 6300,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2006-01139,,,TWC-1059,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Quality of Life-Noise - Trade Waste,,,NY,,,"IESI NY CORPORATION, SUBSIDIARY OF BFI CANADA INC.",1099 WALL STREET WEST,LYNDHURST,RENEWAL APPROVED,,(201) 443-3000,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00335,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Service - All,117-14 Queens Blvd.,Queens,NY,11375-,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,QUEENS,40.715322,-73.832514,6,29,76902,4079983,4033460019,Forest Hills
2009-01500,,,,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Illegal Dumping - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01141,,,TWC-0,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Quality of Life-Odor - Trade Waste,,,NY,,,Brown Transport,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194989,Trade Waste;Transfer Station,FLAG CONTAINER SERVICES INC.,BIC-119 / TS-29,07/10/2019,Trade Waste,Active,PHONE - 6300,Unsubstantiated,Closed,0.0,Complaint,Unlicensed Carter - Trade Waste,,,,,,FLAG CONTAINER SERVICES INC.,11 FERRY STREET,STATEN ISLAND,NY,10302,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-195505,,,,06/22/2020,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-00599,,GREASE MONKEYS OF NY INC,TWC-3531,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Criminal - All,UNKNOWN,nyc,NY,,,GREASE MONKEYS OF NY INC,324 E. 88TH STREET,BROOKLYN,APPROVED,,(718) 484-8141,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01649,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred back to 311,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01319,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-02274,,PRS 95 INC. D/B/A 95 INC.,TWC-3042,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Information - All,,,,,,PRS 95 INC. D/B/A 95 INC. D/B/A PARTS SINKS,4 DITOMAS COURT,COPIAGUE,APPROVED,,(631) 842-9595,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196679,Trade Waste,LIBERTY CONTRACTING CORP.,BIC-338,10/05/2022,Trade Waste,Active,WEB-MAIL,Resolved,Closed,2.0,Complaint,Quality of Life-Noise - Trade Waste,100 William Street,New York,NY,10038,Manhattan,LIBERTY CONTRACTING CORP.,25-31 94TH STREET,NORTH BERGEN,NJ,07047-,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.708497,-74.007477,1,1,1502,1001116,1000680036,Battery Park City-Lower Manhattan
2013-00013,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All;Illegal Dumping - Trade Waste,301 W 39th St.,NY,NY,,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194049,,# 1 WASTE & RECYCLER INC.,BIC-476276,04/30/2018,Trade Waste,Active,311/PHONE - 9278,Violation Written,Closed,3.0,Complaint,Unsafe Driving - Trade Waste,1070 Pacific Street,Brooklyn,NY,11238,Brooklyn,# 1 WASTE & RECYCLER INC.,156 E 21ST STREET APT.2J,BROOKLYN,NY,11226,,,,,,,False,True,,2024-02-21,BROOKLYN,40.678788,-73.957371,8,35,305,3330637,3011340081,Crown Heights North
2009-00658,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,121-21 195 St,NYC,NY,,,,120-08 228 St Cambria Heights,NYC,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194906,,,,06/12/2019,Trade Waste,,WEB-MAIL,Violation Written,Closed,0.0,Complaint,Unlicensed Carter - Trade Waste,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
COMP-193062,Trade Waste,J & R RENDERING INC.,BIC-1648,08/04/2016,Trade Waste,Active,E-Mail,Resolved,Closed,0.0,Complaint,Other - All,,,,,Staten Island,J & R RENDERING INC.,6600 BLVD EAST SUITE 5M,WEST NEW YORK,NJ,07093-,,,,,,,True,False,In Person,2024-02-21,,,,,,,,,
COMP-196418,Trade Waste,CROWN WASTE CORP,BIC-311,04/11/2022,Trade Waste,Active,PHONE - 6300,Resolved,Closed,0.0,Complaint,Service - All,8614 Parsons Blvd,Queens,NY,11432,Queens,CROWN WASTE CORP,P.O. BOX 1133,BETHPAGE,NY,11714-,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.709257,-73.804705,8,24,236,4208204,4097270038,Briarwood-Jamaica Hills
2009-00572,,,,,Trade Waste,,MAIL,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,214-38 28th Avenue,Queens,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01262,,,,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,near 50 W 96 St,nyc,NY,,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195470,Trade Waste;Transfer Station,"WASTE CONNECTIONS OF NEW YORK, INC.",BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,05/26/2020,Trade Waste,Active,WEB-MAIL,Resolved,Closed,22.0,Complaint,Quality of Life-Noise - Trade Waste,,,,,,"WASTE CONNECTIONS OF NEW YORK, INC.","120 WOOD AVENUE SOUTH, SUITE 302",ISELIN,NJ,08830,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
INQ-196834,,,,03/22/2023,Trade Waste,,PHONE - 6300,Referred To BIC Legal,Closed,1.0,Inquiry,Rates-Overcharge - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-00128,,,,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,West 58 St.,NYC,NY,,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-02385,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,186/180 Roosevelt Ave.,nyc,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00968,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,TWC-1181,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,,,NY,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,451 FRELINGHUYSEN AVENUE,NEWARK,RENEWAL EXTENSION,,(973) 623-7600,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00703,,,,,Trade Waste,,PHONE - OTHER,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00631,,HENRY VENTURA & JOSE MARTINEZ,TWC-4328,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,BEST GREENVIEW LANDSCAPING & TREE SERVICES DBA HENRY VENTURA & JOSE MARTINEZ,86-37 102 ROAD,OZONE PARK,WITHDRAWN,,(646) 377-6173,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-195087,Trade Waste,"VIKING SANITATION, INC.",BIC-1055,08/28/2019,Trade Waste,Active,WEB-MAIL,Resolved,Closed,2.0,Inquiry,Information - All,,,,,,"VIKING SANITATION, INC.",P.O. BOX 60,BERKELEY HEIGHTS,NJ,07922-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2013-00944,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred back to 311,Closed,,Inquiry,Information - All;Quality of Life-Noise - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-01001,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred back to 311,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01595,,P T CARTING LLC,TWC-2972,,Trade Waste,,WEB-MAIL,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste;Illegal Dumping - Trade Waste,UNKNOWN,Yonkers,NY,,,P T CARTING LLC,73 HEIGHTS DRIVE,YONKERS,APPROVED,10701-,(914) 426-3995,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01133,,,TWC-NaN,,Trade Waste,,EMAIL,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,1660 Second Ave. by 87th street,NY,NY,10021-,NYC,N/A,,,,10065-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00041,,"WASTE MANAGEMENT OF NEW YORK, L.L.C.",TWC-1146,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Billing - All,,,NY,,,"WASTE MANAGEMENT OF NEW YORK, LLC.",123 VARICK AVENUE,BROOKLYN,RENEWAL PENDING,,(718) 533-5506,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193038,,,,07/22/2016,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,3.0,Complaint,Quality of Life-Noise - Trade Waste,322 West 125th St,NY,NY,10027,Manhattan,,,,,,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.810446,-73.951843,10,9,257,1059298,1019510022,Central Harlem South
2008-00742,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-189837,,,,12/02/2013,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00005,,DARLING INGREDIENTS INC.,TWC-1435,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Rates-Overcharge - Trade Waste,,,NY,,,DARLING INTERNATIONAL INC,251 O'CONNOR RIDGE BLVD,IRVING,RENEWAL PENDING,,(973) 465-1900,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191598,,MUSSO TRUCKING CORP.,BIC-485557,02/04/2015,Trade Waste,Active,PHONE - 6300,Referred To Licensing,Closed,0.0,Inquiry,Information - All;Licensing - All,,,,,,MUSSO TRUCKING CORP.,8914 89Th Ave,Woodhaven,NY,11421-2616,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2010-00228,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Illegal Dumping - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196517,Trade Waste,STATE CONTRACTING CORP. OF NY,BIC-483546 / BIC-2818,06/16/2022,Trade Waste,Inactive,WEB-MAIL,Resolved,Closed,0.0,Complaint,Containers-Unremoved - Trade Waste,238 W 108th Street,New York,NY,10025,Manhattan,STATE CONTRACTING CORP. OF NY,555 SAW MILL RIVER RD,YONKERS,NY,10701,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.802299,-73.966109,7,7,195,1056668,1018797501,Morningside Heights
COMP-191637,,,,02/12/2015,Trade Waste,,PHONE - 6300,Resolved,Closed,1.0,Complaint,Unlicensed Carter - Trade Waste,PO Box 790058,"Middle Village, New York",NY,11379,Queens,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-194751,,,,03/08/2019,Trade Waste,,MAIL,Resolved,Closed,3.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2011-01391,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Violation Written,Closed,,Complaint,Cardboard-Theft - Trade Waste,,,,,,N/A,,,,10021-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01157,,"WASTE CONNECTIONS OF NEW YORK, INC.",TWC-1059,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,230 Mercer St.,NY,NY,,NYC,IESI NY CORPORATION,1099 WALL STREET WEST,LYNDHURST,RENEWAL PENDING,,(201) 443-3000,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195852,Trade Waste,"KETER ENVIRONMENTAL SERVICES, LLC",BIC-4253,03/15/2021,Trade Waste,Active,E-Mail,Violation Written,Closed,2.0,Complaint,Other - All,,,,,,"KETER ENVIRONMENTAL SERVICES, INC.","4 HIGH RIDGE PARK, SUITE 202",STAMFORD,CT,06905-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2007-00706,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00635,,,,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,FOIL - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01870,,,TWC-NaN,,Trade Waste,,PHONE - OTHER,Referred To BIC Legal,Closed,,Inquiry,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01585,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Quality of Life-Odor - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00954,,,TWC-NaN,,Trade Waste,,FAX,FOIL request resolved,Closed,,Inquiry,FOIL - All,,,,,,N/A,,,,11501-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01840,,S.T. REMOVAL INC.,TWC-2404,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,Smedely St.,nyc,NY,,Queens,S.T. REMOVAL INC.,150-16 LIBERTY AVENUE,JAMAICA,RENEWAL APPROVED,,(347) 610-0191,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194279,Trade Waste,HIGHWAY SAFETY PROTECTION CORP.,BIC-4014,08/23/2018,Trade Waste,Active,MAIL,Referred To BIU,Closed,0.0,Complaint,Other - All,,,,,,HIGHWAY SAFETY PROTECTION CORP.,PO BOX 677,SYOSSET,NY,11791,,,,,,,False,True,,2024-02-21,,,,,,,,,
2009-01142,,,TWC-NaN,,Trade Waste,,MAIL,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,424 Harding Park,nyc,NY,,Bronx,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01516,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-02393,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,TWC-1181,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Misinformation - All,,,,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,451 FRELINGHUYSEN AVENUE,NEWARK,RENEWAL PENDING,,(973) 623-7600,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01092,,GREGS EXPRESS CORP,TWC-3678,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Complaint,Other - All,88 9th St.,nyc,NY,,Brooklyn,GREGS EXPRESS CORP,88 9TH STREET,BROOKLYN,APPROVED,,(800) 677-8224,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00178,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,FOIL - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00346,,,TWC-NaN,,Trade Waste,,MAYORS OFFICE OF CORRESPONDENCE,Resolved,Closed,,Complaint,Other - All,,,,,,N/A,,,,11561-2863,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-191460,,,,12/10/2014,Trade Waste,,E-Mail,Unsubstantiated,Closed,19.0,Complaint,Cardboard-Theft - Trade Waste,25-03 parsons blvd,Flushing,NY,11354-1247,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.776474,-73.824359,7,20,1047,4108020,4047790009,Murray Hill
2010-00609,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191113,,,,09/16/2014,Trade Waste,,PHONE - 6300,Referred To Licensing,Closed,0.0,Inquiry,Information - All;Licensing - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-01581,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00278,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00975,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Rates-Overcharge - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192949,Trade Waste,SANITATION SALVAGE CORP.,BIC-172,06/08/2016,Trade Waste,Active,311/PHONE - 9278,Unsubstantiated,Closed,5.0,Complaint,Other - All,5690 Mosholu Ave,Bronx,NY,10471,Bronx,SANITATION SALVAGE CORP.,421 MANIDA STREET,BRONX,NY,10474,,,,,,,True,False,Phone Call,2024-02-21,BRONX,40.905441,-73.900845,8,11,337,2084805,2058481761,North Riverdale-Fieldston-Riverdale
2013-00398,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00265,,,TWC-NaN,,Trade Waste,,PHONE - 6300,,Closed,,Inquiry,Rates-Overcharge - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-00792,,,,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Recycling - Trade Waste,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00471,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,Illegal Dumping - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-191926,,,,05/12/2015,Trade Waste,,WALK IN,Unsubstantiated,Closed,7.0,Complaint,Unlicensed Carter - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-193647,Trade Waste,TORNADO CARTING CORP,BIC-4209 / BIC-483282,09/18/2017,Trade Waste,Inactive,311/PHONE - 9278,Resolved,Closed,1.0,Complaint,Quality of Life-Noise - Trade Waste,280 Cadman Plaza West,Brooklyn,NY,11201,Brooklyn,TORNADO CARTING CORP,2626 213 STREET,BAYSIDE,NY,11360-,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.695649,-73.991006,2,33,502,3000000,3002397501,Brooklyn Heights-Cobble Hill
2013-00557,,"STERICYCLE, INC.",TWC-4236,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Complaint,Rates-Overcharge - Trade Waste,,,,,,"STERICYCLE, INC.",28161 NORTH KEITH DRIVE,LAKE FOREST,APPROVED,,(847) 367-5910,,,,,,False,False,,2024-02-21,,,,,,,,,
